ticker,first_date,last_date,n_obs,n_calendar_days,pct_missing,n_missing_price,n_gaps_1d,n_gaps_2d,n_gaps_gt2d,n_zero_returns,n_outliers_5s,skewness,excess_kurtosis,annualised_vol_pct
BTC-USD,2017-11-09,2026-05-16,3053,3111,0.0,0,2994,58,0,0,4,-0.729,13.478,55.88
ETH-USD,2017-11-09,2026-05-16,3053,3111,0.0,0,2994,58,0,0,5,-0.738,10.86,72.4
GLD,2017-11-09,2026-05-16,3053,3111,0.0,0,2994,58,0,920,8,-0.873,13.631,13.88
SLV,2017-11-09,2026-05-16,3053,3111,0.0,0,2994,58,0,955,6,-2.694,49.3,28.49
UUP,2017-11-09,2026-05-16,3053,3111,0.0,0,2994,58,0,1001,6,-0.032,8.563,5.84
^GSPC,2017-11-09,2026-05-16,3053,3111,0.0,0,2994,58,0,914,13,-0.736,22.67,16.15
^IXIC,2017-11-09,2026-05-16,3053,3111,0.0,0,2994,58,0,915,9,-0.458,12.659,19.62
